619	옥수수면	g	3.600	0.780	0.070	0.010
621	우거지	g	0.200	0.040	0.020	0.000
622	우대갈비	g	3.500	0.000	0.150	0.300
631	육회거리	g	1.300	0.000	0.220	0.040
646	조	g	3.600	0.730	0.110	0.040
648	죽순	g	0.270	0.050	0.030	0.000
649	중국당면	g	3.500	0.860	0.000	0.000
651	쥬키니호박	g	0.170	0.030	0.010	0.000
664	치아바타	개	280.000	55.000	9.000	2.000
667	카무트	g	3.300	0.700	0.140	0.020
672	캐슈넛	g	5.500	0.300	0.180	0.440
674	컬리플라워	g	0.250	0.050	0.020	0.003
675	케일	g	0.430	0.090	0.030	0.006
676	코코넛오일	ml	8.600	0.000	0.000	1.000
683	퀴노아	g	3.700	0.640	0.140	0.060
706	통밀가루	g	3.650	0.720	0.130	0.020
707	통밀빵	g	2.600	0.470	0.090	0.040
714	파로	g	3.400	0.720	0.140	0.020
721	판체타	g	3.500	0.010	0.160	0.300
727	페투치니	g	3.600	0.740	0.120	0.020
730	펜네	g	3.600	0.740	0.120	0.020
737	푸실리	g	3.600	0.720	0.120	0.020
750	해바라기씨	g	6.000	0.200	0.200	0.500
754	햄프씨드	g	5.500	0.100	0.300	0.500
757	호밀빵	g	2.590	0.480	0.090	0.030
761	홀토마토	g	0.200	0.030	0.010	0.000
765	훈제연어	g	1.700	0.000	0.200	0.080
769	흰강낭콩	g	3.330	0.600	0.230	0.008
